,Name,Watershed,Latitude,Longitude,Population_polluting
0,Edmonds port,puget,47.815885,-122.385012,237140
1,Oak Harbor,skagit,48.26678,-122.643507,24760
2,Fraser North,fraser,49.227044,-123.219523,209937
4,Victoria Harbor,jdf,48.41695,-123.395355,209602
7,FalseCreek,howe,49.27677917480469,-123.1474380493164,911373
8,FirstNarrows,howe,49.31544494628906,-123.13983154296875,146288
10,Lawson,howe,49.32733154296875,-123.16366577148438,44122
27,Stawanus,howe,49.682247161865234,-123.15756225585938,23819
49,Tumwater,jdf,48.124725341796875,-123.43988037109375,20200
94,ClearBarker,puget,47.5662956237793,-122.61951446533203,45220
95,BigValley,puget,47.70595169067383,-122.61902618408203,25060
106,Deschutes,puget,47.06300735473633,-122.91048431396484,114550
109,Chambers,puget,47.18718719482422,-122.58753204345703,99220
111,Puyallup,puget,47.26699447631836,-122.43389129638672,220800
112,Hylebas,puget,47.28432083129883,-122.41390228271484,449060
113,Duwamish1,puget,47.58230972290039,-122.35884094238281,84400
114,Duwamish2,puget,47.591957092285156,-122.34629821777344,1379160
116,Skagit1,skagit,48.29637145996094,-122.47689819335938,35500
123,SnohomishAllenQuilceda,skagit,47.9940071105957,-122.23646545410156,269480
126,Serpentine,fraser,49.06599807739258,-122.87809753417969,322574
127,Nicomekl,fraser,49.058143615722656,-122.87136840820312,568322
128,LittleCampbell,fraser,49.008460998535156,-122.78111267089844,274495
129,Colebrook,fraser,49.058448791503906,-122.8989028930664,108455
136,Lakethingo,fraser,48.755367279052734,-122.49676513671875,288953
140,Qunisam,evi_n,50.047454833984375,-125.25733947753906,35519
201,Chemanius1,evi_s,48.90467834472656,-123.67405700683594,31990
205,NorNanaimo,evi_s,49.1744499206543,-123.93748474121094,99863
206,Goldstream,evi_s,48.50566864013672,-123.54796600341797,46584
215,Puntledge,evi_s,49.666603088378906,-124.95465087890625,28420
